PROC_TRACEINFO,OP070_V_1_angle_value,OP090_SnapRingPeakForce_value,OP070_V_2_angle_value,OP120_Rodage_I_mesure_value,OP090_SnapRingFinalStroke_value,OP110_Vissage_M8_torque_value,OP100_Capuchon_insertion_mesure,OP120_Rodage_U_mesure_value,OP070_V_1_torque_value,OP090_StartLinePeakForce_value,OP110_Vissage_M8_angle_value,OP090_SnapRingMidPointForce_val,OP070_V_2_torque_value
1,162.8,164.4,150.7,119.51,11.88,12.29,,11.97,6.61,23.99,17.9,92.45,6.6
2,122.8,177.09,145.5,118.82,12.07,12.27,,11.97,6.62,25.35,21.4,104.67,6.61
3,189.6,164.47,186.7,110.46,11.85,12.25,,11.97,6.64,27.49,17.3,103.39,6.6
4,141.8,161.14,169.9,113.2,12.07,12.24,,11.98,6.62,23.71,16.5,99.84,6.6
5,155.1,165.67,166.1,112.58,11.84,12.18,,11.97,6.61,27.38,21.5,102.64,6.6
6,170.5,170.1,165.6,115.12,12.06,12.36,,11.97,6.61,24.54,9.7,98.15,6.63
7,184.1,145.95,152.8,110.07,11.79,12.34,,11.97,6.61,24.1,11.1,94.22,6.61
8,131,176.73,144.8,114.31,12.06,12.08,,11.97,6.62,25.39,24.7,101.35,6.6
9,168.7,145.12,197.8,114,12.04,12.36,0.41,11.97,6.43,21.6,11.2,101.82,6.39
10,185.3,170.9,161.1,114.75,12.06,12.32,,11.97,6.62,22.7,44.9,103.42,6.63
11,134,157.41,162.1,109.66,11.75,12.38,,11.97,6.61,26.68,10.1,109.46,6.61
12,182.5,155.04,164.3,111.39,12.09,12.16,,11.97,6.61,22.52,28.9,93.68,6.6
13,131.3,167.14,129.5,108.94,11.82,12.46,0.41,11.97,6.62,30.59,16.7,113.45,6.61
14,136.6,137.42,151.3,117.49,12.1,12.25,0.35,11.97,6.41,21.4,13.9,94.52,6.4
15,172.3,152.71,173.8,115.2,11.86,12.19,0.39,11.97,6.6,22.83,47.2,95.69,6.6
16,186.1,169.8,175.4,108.51,11.76,12.3,,11.97,6.61,26.29,43,97.73,6.62
17,156.3,164.9,158.4,112.21,11.84,12.23,,11.97,6.61,27.83,22.3,104.19,6.64
18,172.1,171.84,185.6,115.01,11.83,12.25,,11.97,6.61,24.53,15.7,105.19,6.63
19,171.8,169.09,166.4,108.81,12.07,12.24,,11.97,6.6,24.13,17.9,99.84,6.6
20,190.7,178.85,159.8,111.83,12.05,12.39,,11.97,6.61,23.87,8.7,101.41,6.6
21,162.1,155.53,156.9,119.08,12.13,12.28,0.4,11.97,6.41,21.36,14.7,96.01,6.41
22,174.9,136.84,197.9,111.79,12.05,12.28,0.41,11.97,6.42,24.67,14.2,97.42,6.38
23,158.3,152.3,141.2,109.73,11.82,12.26,0.38,11.97,6.61,24.88,17.7,103.45,6.62
24,146.1,154.84,148.3,113.15,12.09,12.19,,11.97,6.62,22.18,19.3,98.63,6.61
25,197.4,177.68,140.4,112.75,12.06,12.19,,11.97,6.55,23.9,15.8,105.92,6.61
26,175.2,156.01,176.4,120.24,12.04,12.19,0.41,11.97,6.41,21.49,22.6,98.14,6.42
27,184.2,166.41,176.9,114.84,11.83,12.29,,11.97,6.62,28.2,11.9,100.45,6.61
28,149.9,153.16,127.4,117.45,11.83,12.25,0.36,11.97,6.6,24.56,27.6,104.36,6.61
29,183.5,135.72,168.4,109.89,12.06,12.35,0.41,11.97,6.41,22.14,12.5,100.14,6.4
30,155,169.7,186.4,116.7,12.09,12.27,,11.97,6.63,25.77,14.5,102.3,6.63
31,141.4,145.48,173.6,107.58,11.85,12.28,0.38,11.97,6.61,26.43,17.6,102.38,6.62
32,169.2,136.6,142.1,115.21,12.1,12.29,0.41,11.97,6.41,23.25,16,100.79,6.41
33,150.5,173.73,177.6,112.63,12.06,12.26,,11.97,6.62,22.11,20.5,99.46,6.61
34,183.7,174.38,177.9,111.6,12.05,12.2,,11.97,6.62,26.79,21.9,102.61,6.61
35,137.8,156.97,132.4,116.85,11.83,12.24,0.36,11.97,6.61,24.72,21.5,100.81,6.62
36,153.2,163.19,156.1,112.11,11.81,12.19,0.34,11.97,6.6,24.99,18.1,93.97,6.62
37,131.7,158.52,150.6,116.74,11.83,12.21,0.38,11.97,6.62,26.61,27.1,100.89,6.61
38,184.7,150.75,167.7,114.47,12.11,12.25,0.41,11.97,6.44,24.83,13.7,103.36,6.43
39,157,156.06,175.9,114.56,12.03,12.2,0.38,11.97,6.41,27.1,21.6,103.75,6.43
40,156.3,164.28,157,113.71,11.75,12.3,,11.97,6.62,26.6,13.8,102.36,6.61
41,175.5,143.75,166.1,112.84,12.13,12.25,0.39,11.97,6.41,17.91,36.1,80.77,6.4
42,178.9,150.86,166,110.65,11.69,12.25,,11.97,6.6,23.8,11,94.55,6.62
43,176.2,164.14,153.6,115.53,11.88,12.25,,11.97,6.62,25.68,16,95.77,6.62
44,146.4,166.3,160.4,114.2,12.06,12.42,,11.97,6.62,19.99,14,96.73,6.64
45,142.4,153.45,178.7,115.04,11.78,12.2,,11.97,6.61,25.48,40.2,105.59,6.6
46,189.6,165.59,171.3,114.3,12.09,12.18,,11.97,6.61,23.19,35.9,97.9,6.6
47,134.9,151.94,169.3,116.9,12.06,12.25,0.41,11.97,6.41,24.72,18.3,97.63,6.41
48,175,135.05,197.9,112.98,11.73,12.26,,11.97,6.61,24.05,15,100.71,6.13
49,148.2,161.18,190.2,112.85,11.68,12.33,,11.97,6.6,23.93,14.7,94.17,6.61
50,161,168.43,149.7,106.22,11.87,12.28,,11.98,6.62,26.34,25.2,98.86,6.6
51,163.7,148.71,138.6,112.8,11.9,12.25,,11.97,6.62,24.65,16,98.85,6.61
52,175,169.23,164.8,122.77,12.09,12.19,,11.97,6.64,24.61,15.9,109.29,6.61
