PROC_TRACEINFO,OP070_V_1_angle_value,OP090_SnapRingPeakForce_value,OP070_V_2_angle_value,OP120_Rodage_I_mesure_value,OP090_SnapRingFinalStroke_value,OP110_Vissage_M8_torque_value,OP100_Capuchon_insertion_mesure,OP120_Rodage_U_mesure_value,OP070_V_1_torque_value,OP090_StartLinePeakForce_value,OP110_Vissage_M8_angle_value,OP090_SnapRingMidPointForce_val,OP070_V_2_torque_value
0,180.4,190.51,173.1,113.64,12.04,12.16,,11.97,6.62,26.37,18.8,109.62,6.6
1,138.7,147.7,163.5,109.77,12.12,12.19,0.39,11.97,6.41,21.03,18.5,105.48,6.4
2,180.9,150.87,181.2,109.79,11.86,12.24,,11.97,6.62,25.81,17.5,100.03,6.61
3,173.5,159.56,151.8,113.25,11.82,12.35,0.39,11.97,6.62,24.62,15.6,104.94,6.61
4,174.5,172.29,177.5,112.88,12.07,12.19,,11.97,6.62,29.22,33.6,99.19,6.61
5,158.7,165.79,178.4,112.09,11.88,12.15,,11.97,6.62,25.99,22.3,97.13,6.63
6,158.8,153.91,152.5,111.25,12.11,12.19,0.38,11.97,6.41,18.79,17.7,81.56,6.4
7,181,164.02,175.8,117.5,11.75,12.14,,11.97,6.61,24.33,36,95.12,6.62
8,156.1,159.5,151.8,111.75,12.09,12.21,,11.97,6.61,26.07,16.6,101.57,6.61
9,159.4,162.99,128.3,107.68,11.88,12.35,,11.98,6.62,24.05,17.9,99.2,6.6
10,165.9,157.94,164.2,115.89,12.09,12.19,,11.97,6.61,23.11,16.9,97.62,6.6
11,168.9,150.21,152,114.4,12.12,12.14,0.4,11.97,6.41,17.88,15.2,77.85,6.44
12,159.1,157.32,160.5,120.2,12.07,12.35,,11.97,6.61,24.6,12.8,101.61,6.62
13,154.1,167.31,179.6,119.24,11.76,12.33,,11.97,6.6,28.73,14.6,103.52,6.6
14,142.9,163.31,161.6,107.48,11.9,12.24,,11.97,6.61,27.19,14.1,99.51,6.61
15,159.4,147.9,123.3,110.67,12.11,12.26,0.38,11.97,6.41,19.14,13.9,83.96,6.41
16,146.7,150.12,162.6,109.52,12.04,12.26,0.41,11.97,6.41,23.71,20.6,103.06,6.42
17,157.4,161.95,171,118.09,12.09,12.2,,11.97,6.62,23.9,19.2,100.61,6.63
18,173.1,166.42,152.6,112.71,11.88,12.2,,11.97,6.62,23.55,22.3,103.19,6.61
19,144.6,154.25,157.8,112.84,12.08,12.11,,11.97,6.62,22.64,26.1,97.95,6.61
20,164.3,150.33,159.6,116.6,11.84,12.11,0.41,11.97,6.6,26.26,29,104.55,6.6
21,165.5,171.53,151.1,115.1,12.07,12.28,,11.97,6.61,23.14,13.6,98.63,6.61
22,171.5,137.05,197.4,111.91,11.72,12.16,,11.97,6.61,23.16,21.9,97.39,6.48
23,155,162.56,134,110.49,11.81,12.26,0.35,11.97,6.61,26.53,15,98.6,6.63
24,127.9,153.98,160.7,111.89,12.11,12.22,,11.97,6.6,23.12,15.5,98.16,6.61
25,168.3,160.81,154.3,108.75,11.81,12.3,0.36,11.97,6.61,27.05,14.9,109.91,6.61
26,189.3,152.74,176.6,115.42,12.08,12.18,,11.97,6.63,23.35,23.9,94.58,6.61
27,150.1,161.62,163.8,112.58,12.08,12.32,,11.98,6.62,21.13,19.3,94.85,6.62
28,177.6,174.94,185.7,117.1,12.06,12.24,,11.98,6.6,22.77,11.1,103.92,6.61
29,185,150.97,170.3,119.93,11.78,12.28,,11.97,6.61,25.79,15.6,93.74,6.61
30,172.5,180.52,166.4,111.97,11.89,12.34,,11.97,6.6,24.86,10,111.55,6.6
31,166.8,160.09,154.6,109.9,11.9,12.25,,11.97,6.61,24.75,17.1,97.14,6.6
32,162,174.69,136.2,112.98,11.89,12.29,,11.97,6.62,26.48,11,104.1,6.6
